NCBITaxon:34485	Entomophthora muscae	affects		NCBITaxon:50557	Insecta
NCBITaxon:48410	Equine herpesvirus sp.	affects		NCBITaxon:9788	Equidae
NCBITaxon:10326	Equid herpesvirus 1	affects		NCBITaxon:9788	Equidae
NCBITaxon:12657	Equid herpesvirus 2	affects		NCBITaxon:9788	Equidae
NCBITaxon:80341	Equid herpesvirus 3	affects		NCBITaxon:9788	Equidae
NCBITaxon:10331	Equid herpesvirus 4	affects		NCBITaxon:9788	Equidae
NCBITaxon:10371	Equid herpesvirus 5	affects		NCBITaxon:9788	Equidae
NCBITaxon:194961	Erbovirus	affects		NCBITaxon:9788	Equidae
NCBITaxon:562	Escherichia coli	affects		NCBITaxon:9975	Lagomorpha
NCBITaxon:692069	Falcon adenovirus A	affects		NCBITaxon:8782	Aves
NCBITaxon:46835	Fasciola gigantica	infects		NCBITaxon:33208	Metazoa
NCBITaxon:6192	Fasciola hepatica	infects		NCBITaxon:33208	Metazoa
NCBITaxon:394415	Fascioloides magna	affects		NCBITaxon:9845	Ruminantia
NCBITaxon:11978	Feline calicivirus	affects		NCBITaxon:9681	Felidae
NCBITaxon:12663	Feline coronavirus	affects		NCBITaxon:9681	Felidae
NCBITaxon:11673	Feline immunodeficiency virus	affects		NCBITaxon:9681	Felidae
NCBITaxon:11768	Feline leukemia virus	affects		NCBITaxon:9681	Felidae
NCBITaxon:11768	Feline leukemia virus	caused_by		NCBITaxon:10239	Viruses
NCBITaxon:11266	Filoviridae	infects		NCBITaxon:33208	Metazoa
NCBITaxon:11266	Filoviridae	caused_by		NCBITaxon:10239	Viruses
NCBITaxon:5506	Fusarium	infects		NCBITaxon:33208	Metazoa
NCBITaxon:5506	Fusarium	affects		NCBITaxon:33090	Viridiplantae
NCBITaxon:10386	Gallid herpesvirus 1	affects		NCBITaxon:8782	Aves
NCBITaxon:6289	Haemonchus contortus	affects		NCBITaxon:9963	Caprinae
NCBITaxon:412152	Hematodinium perezi	affects		NCBITaxon:6657	Crustacea
NCBITaxon:260964	Henipavirus	affects		NCBITaxon:9788	Equidae
NCBITaxon:260964	Henipavirus	caused_by		NCBITaxon:10239	Viruses
NCBITaxon:11024	Highlands J virus	affects		NCBITaxon:9788	Equidae
NCBITaxon:33277	Ancylostomatoidea	affects		NCBITaxon:9681	Felidae
NCBITaxon:11746	Jaagsiekte sheep retrovirus	affects		NCBITaxon:9963	Caprinae
NCBITaxon:11072	Japanese encephalitis virus	affects		NCBITaxon:9822	Sus
NCBITaxon:180230	Cyprinid herpesvirus 3	caused_by		NCBITaxon:10239	Viruses
NCBITaxon:11077	Kunjin virus	affects		NCBITaxon:9788	Equidae
NCBITaxon:11077	Kunjin virus	transmitted_by		NCBITaxon:50557	Insecta
NCBITaxon:11077	Kunjin virus	caused_by		NCBITaxon:10239	Viruses
NCBITaxon:38766	Lagos bat virus	affects		NCBITaxon:9397	Chiroptera
NCBITaxon:11620	Lassa virus	caused_by		NCBITaxon:10239	Viruses
NCBITaxon:172314	Ljungan virus	affects		NCBITaxon:9989	Rodentia
NCBITaxon:1104174	Lloviu virus	affects		NCBITaxon:9397	Chiroptera
NCBITaxon:1104174	Lloviu virus	caused_by		NCBITaxon:10239	Viruses
NCBITaxon:11269	Marburg marburgvirus	infects		NCBITaxon:33208	Metazoa
NCBITaxon:11269	Marburg marburgvirus	caused_by		NCBITaxon:10239	Viruses
NCBITaxon:186537	Marburgvirus	infects		NCBITaxon:33208	Metazoa
NCBITaxon:186537	Marburgvirus	caused_by		NCBITaxon:10239	Viruses
NCBITaxon:55272	Metastrongylus	affects		NCBITaxon:9822	Sus
NCBITaxon:10792	Mink enteritis virus	infects		NCBITaxon:33208	Metazoa
NCBITaxon:11157	Mononegavirales	infects		NCBITaxon:33208	Metazoa
NCBITaxon:11157	Mononegavirales	affects		NCBITaxon:33090	Viridiplantae
NCBITaxon:11157	Mononegavirales	caused_by		NCBITaxon:10239	Viruses
NCBITaxon:476	Moraxella bovis	affects		NCBITaxon:9895	Bovidae
NCBITaxon:11138	Murine hepatitis virus	affects		NCBITaxon:9989	Rodentia
NCBITaxon:11757	Mouse mammary tumor virus	affects		NCBITaxon:9989	Rodentia
NCBITaxon:11786	Murine leukemia virus	affects		NCBITaxon:9989	Rodentia
NCBITaxon:64667	Mycobacterium lepraemurium	affects		NCBITaxon:9681	Felidae
NCBITaxon:2099	Mycoplasma hyopneumoniae	affects		NCBITaxon:9822	Sus
