DOID:0001816	angiosarcoma	Wikidata:Q539728	hemangiosarcoma	false	
DOID:0001816	angiosarcoma	Wikidata:Q539728	hemangiosarcoma	true	
DOID:0050052	Rocky Mountain spotted fever	Wikipedia:Rocky_Mountain_spotted_fever	rocky mountain spotted fever	false	
DOID:0050052	Rocky Mountain spotted fever	Wikipedia:Rocky_Mountain_spotted_fever	rocky mountain spotted fever	true	
DOID:0050061	erysipeloid	Wikipedia:Erysipeloid	erysipeloid	false	
DOID:0050061	erysipeloid	Wikipedia:Erysipeloid	erysipeloid	true	
DOID:0050084	rhinotracheitis	Wikidata:Q11752015	feline viral rhinotracheitis	false	
DOID:0050084	rhinotracheitis	Wikidata:Q11752015	feline viral rhinotracheitis	true	
DOID:0050251	coenurosis	Wikidata:Q221547	coenurosis	false	
DOID:0050251	coenurosis	Wikidata:Q221547	coenurosis	true	
DOID:0050261	thelaziasis	Wikidata:Q2090711	thelaziasis	false	
DOID:0050261	thelaziasis	Wikidata:Q2090711	thelaziasis	true	
DOID:10242	ehrlichiosis	Wikidata:Q1033316	ehrlichiosis (canine)	false	
DOID:10242	ehrlichiosis	Wikidata:Q1033316	ehrlichiosis (canine)	true	
DOID:10250	louping ill	Wikipedia:Louping_ill	louping ill	false	
DOID:10250	louping ill	Wikipedia:Louping_ill	louping ill	true	
DOID:10398	pneumonic plague	Wikipedia:Pneumonic_plague	pneumonic plague	false	
DOID:10398	pneumonic plague	Wikipedia:Pneumonic_plague	pneumonic plague	true	
DOID:10773	bubonic plague	Wikipedia:Bubonic_plague	bubonic plague	false	
DOID:10773	bubonic plague	Wikipedia:Bubonic_plague	bubonic plague	true	
DOID:1080	filariasis	Wikidata:Q815753	filariasis	false	
DOID:1080	filariasis	Wikidata:Q815753	filariasis	true	
DOID:10844	Japanese encephalitis	Wikipedia:Japanese_encephalitis	japanese encephalitis	false	
DOID:10844	Japanese encephalitis	Wikipedia:Japanese_encephalitis	japanese encephalitis	true	
DOID:11055	pasteurellosis	Wikipedia:Pasteurellosis	pasteurellosis	false	
DOID:11055	pasteurellosis	Wikipedia:Pasteurellosis	pasteurellosis	true	
DOID:11077	brucellosis	Wikidata:Q156050	brucellosis	false	
DOID:11077	brucellosis	Wikidata:Q156050	brucellosis	true	
DOID:11080	myiasis	Wikipedia:Myiasis	myiasis	false	
DOID:11080	myiasis	Wikipedia:Myiasis	myiasis	true	
DOID:11100	Q fever	Wikidata:Q164818	q fever	false	
DOID:11100	Q fever	Wikidata:Q164818	q fever	true	
DOID:11258	cat-scratch disease	Wikipedia:Cat_scratch_disease	cat scratch disease	false	
DOID:11258	cat-scratch disease	Wikipedia:Cat_scratch_disease	cat scratch disease	true	
DOID:11260	rabies	Wikidata:Q39222	rabies	false	
DOID:11260	rabies	Wikidata:Q39222	rabies	true	
DOID:11262	ornithosis	Wikidata:Q164727	psittacosis	false	
DOID:11262	ornithosis	Wikidata:Q164727	psittacosis	true	
DOID:11330	erysipelas	Wikipedia:Erysipelas	erysipelas	false	
DOID:11330	erysipelas	Wikipedia:Erysipelas	erysipelas	true	
DOID:11976	botulism	Wikipedia:Botulism	botulism	false	
DOID:11976	botulism	Wikipedia:Botulism	botulism	true	
DOID:11984	hypertrophic cardiomyopathy	Wikidata:Q1364270	hypertrophic cardiomyopathy	false	
DOID:11984	hypertrophic cardiomyopathy	Wikidata:Q1364270	hypertrophic cardiomyopathy	true	
DOID:12155	lymphocytic choriomeningitis	Wikidata:Q1878776	lymphocytic choriomeningitis	false	
DOID:12155	lymphocytic choriomeningitis	Wikidata:Q1878776	lymphocytic choriomeningitis	true	
DOID:12397	entropion	Wikidata:Q1327273	entropion	false	
DOID:12397	entropion	Wikidata:Q1327273	entropion	true	
DOID:12895	keratoconjunctivitis sicca	Wikidata:Q1162694	keratoconjunctivitis sicca	false	
DOID:12895	keratoconjunctivitis sicca	Wikidata:Q1162694	keratoconjunctivitis sicca	true	
DOID:13031	balanoposthitis	Wikidata:Q3270174	balanoposthitis	false	
DOID:13031	balanoposthitis	Wikidata:Q3270174	balanoposthitis	true	
DOID:13186	megaesophagus	Wikidata:Q1713499	megaesophagus	false	
DOID:13186	megaesophagus	Wikidata:Q1713499	megaesophagus	true	
DOID:1328	Rift Valley fever	Wikipedia:Rift_Valley_fever	rift valley fever	false	
DOID:1328	Rift Valley fever	Wikipedia:Rift_Valley_fever	rift valley fever	true	
DOID:13316	exocrine pancreatic insufficiency	Wikidata:Q641605	exocrine pancreatic insufficiency	false	
DOID:13316	exocrine pancreatic insufficiency	Wikidata:Q641605	exocrine pancreatic insufficiency	true	
DOID:13371	scrub typhus	Wikipedia:Scrub_typhus	scrub typhus	false	
DOID:13371	scrub typhus	Wikipedia:Scrub_typhus	scrub typhus	true	
DOID:13444	glanders	Wikidata:Q327005	glanders	false	
DOID:13444	glanders	Wikidata:Q327005	glanders	true	
DOID:13564	aspergillosis	Wikipedia:Aspergillosis	aspergillosis	false	
DOID:13564	aspergillosis	Wikipedia:Aspergillosis	aspergillosis	true	
DOID:13622	campylobacteriosis	Wikipedia:Campylobacteriosis	campylobacteriosis	false	
DOID:13622	campylobacteriosis	Wikipedia:Campylobacteriosis	campylobacteriosis	true	
DOID:13724	scurvy	Wikidata:Q163865	scurvy	false	
DOID:13724	scurvy	Wikidata:Q163865	scurvy	true	
DOID:1395	schistosomiasis	Wikipedia:Schistosomiasis	schistosomiasis	false	
DOID:1395	schistosomiasis	Wikipedia:Schistosomiasis	schistosomiasis	true	
